,f1,precision,recall,times
1209,0.8531656937584193,0.8210890233362144,0.8878504672897196,0.46245312690734863
1210,0.8530465949820788,0.8192771084337349,0.8897196261682243,0.4815707206726074
1211,0.8536912751677853,0.8188841201716738,0.891588785046729,0.4490387439727783
1212,0.8544558889386475,0.820292347377472,0.891588785046729,0.4652388095855713
1213,0.8517689207344379,0.8177128116938951,0.888785046728972,0.4559957981109619
1214,0.8522829006266787,0.8178694158075601,0.8897196261682243,0.47065162658691406
1215,0.8512544802867383,0.8175559380378657,0.8878504672897196,0.47257065773010254
1216,0.8550983899821111,0.8198970840480274,0.8934579439252337,0.44436073303222656
1217,0.8547161376843987,0.8191945158526135,0.8934579439252337,0.46957969665527344
1218,0.8525324966382789,0.8191214470284238,0.888785046728972,0.474961519241333
1219,0.8535602328705777,0.819432502149613,0.8906542056074767,0.45042872428894043
1220,0.8471223021582733,0.8162911611785095,0.8803738317757009,0.4593639373779297
1221,0.8526645768025078,0.8185726569217541,0.8897196261682243,0.46717357635498047
1222,0.8521505376344087,0.8184165232358004,0.888785046728972,0.4702904224395752
1223,0.8524150268336315,0.8173241852487135,0.8906542056074767,0.4630157947540283
1224,0.8529280286097453,0.8174807197943444,0.891588785046729,0.4552798271179199
1225,0.8511210762331838,0.8181034482758621,0.8869158878504673,0.4629385471343994
1226,0.8511399195350916,0.8157669237360754,0.8897196261682243,0.5224809646606445
1227,0.851520572450805,0.8164665523156089,0.8897196261682243,0.4819755554199219
1228,0.8517689207344379,0.8177128116938951,0.888785046728972,0.4419240951538086
1229,0.8521505376344087,0.8184165232358004,0.888785046728972,0.4847533702850342
1230,0.8519015659955257,0.8171673819742489,0.8897196261682243,0.4574246406555176
1231,0.8517689207344379,0.8177128116938951,0.888785046728972,0.46608781814575195
1232,0.8502458649977649,0.8149100257069408,0.888785046728972,0.4577524662017822
1233,0.8524150268336315,0.8173241852487135,0.8906542056074767,0.4948458671569824
1234,0.8550983899821111,0.8198970840480274,0.8934579439252337,0.457078218460083
1235,0.8538220831470721,0.818337617823479,0.8925233644859814,0.47870779037475586
1236,0.8534289556252801,0.8199827734711456,0.8897196261682243,0.45909881591796875
1237,0.8530465949820788,0.8192771084337349,0.8897196261682243,0.6000950336456299
1238,0.8531781557743957,0.8187285223367697,0.8906542056074767,0.6523001194000244
1239,0.8530465949820788,0.8192771084337349,0.8897196261682243,0.5144879817962646
1240,0.8512544802867383,0.8175559380378657,0.8878504672897196,0.6183123588562012
1241,0.8506056527590847,0.817946505608283,0.8859813084112149,0.46337246894836426
1242,0.8503370786516853,0.819047619047619,0.8841121495327103,0.49353766441345215
1243,0.8531656937584193,0.8210890233362144,0.8878504672897196,0.501234769821167
1244,0.8532853285328533,0.8229166666666666,0.8859813084112149,0.45701169967651367
1245,0.8531656937584193,0.8210890233362144,0.8878504672897196,0.47363805770874023
1246,0.8505850585058505,0.8203125,0.883177570093458,0.46102404594421387
1247,0.8534172661870503,0.8223570190641247,0.8869158878504673,0.475144624710083
1248,0.8552218735992828,0.8217054263565892,0.891588785046729,0.44703125953674316
1249,0.8526504941599282,0.8209342560553633,0.8869158878504673,0.4514296054840088
1250,0.8518850987432675,0.8195164075993091,0.8869158878504673,0.46898388862609863
1251,0.8543254146122814,0.8208440999138673,0.8906542056074767,0.47757577896118164
1252,0.8532974427994617,0.82053494391717,0.888785046728972,0.44812512397766113
1253,0.8534289556252801,0.8199827734711456,0.8897196261682243,0.45734119415283203
1254,0.8535602328705777,0.819432502149613,0.8906542056074767,0.4625372886657715
1255,0.8526504941599282,0.8209342560553633,0.8869158878504673,0.4611794948577881
1256,0.8520179372197308,0.8189655172413793,0.8878504672897196,0.4796724319458008
1257,0.8534289556252801,0.8199827734711456,0.8897196261682243,0.4570291042327881
1258,0.8530465949820788,0.8192771084337349,0.8897196261682243,0.45781731605529785
1259,0.852914798206278,0.8198275862068966,0.888785046728972,0.47960662841796875
1260,0.8541947061462539,0.8213977566867989,0.8897196261682243,0.471515417098999
1261,0.8513695554557701,0.8193604148660328,0.8859813084112149,0.45961976051330566
