,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.11,0.899,0.912,0.887,0.107,0.107,0,655.918
1,0.474,0.0,0.0,0.0,0.05,0.107,20,221.295
2,0.333,0.0,0.0,0.0,0.15,0.107,40,233.165
3,0.339,0.0,0.0,0.0,0.2,0.106,60,233.218
4,0.336,0.0,0.0,0.0,0.162,0.106,80,232.949
5,0.373,0.104,0.261,0.068,0.19,0.106,100,238.434
6,0.338,0.373,0.451,0.319,0.225,0.105,120,233.992
7,0.418,0.386,0.378,0.422,0.286,0.103,140,243.356
8,0.237,0.598,0.682,0.537,0.319,0.101,160,245.647
9,0.261,0.61,0.622,0.613,0.322,0.1,180,253.668
10,0.223,0.631,0.689,0.592,0.34,0.099,200,256.149
11,0.171,0.78,0.798,0.769,0.358,0.096,240,253.935
12,0.15,0.808,0.784,0.837,0.386,0.093,280,260.68
13,0.155,0.815,0.861,0.775,0.391,0.091,320,261.954
14,0.147,0.813,0.833,0.798,0.411,0.087,360,267.692
15,0.146,0.818,0.84,0.798,0.41,0.085,400,273.466
16,0.152,0.831,0.843,0.822,0.425,0.081,440,284.342
17,0.159,0.831,0.822,0.84,0.427,0.078,480,284.078
18,0.145,0.847,0.834,0.862,0.429,0.075,520,293.312
19,0.156,0.815,0.823,0.811,0.429,0.073,560,290.118
20,0.149,0.851,0.843,0.861,0.428,0.07,600,288.073
21,0.18,0.831,0.789,0.879,0.419,0.068,640,301.193
22,0.153,0.843,0.816,0.872,0.418,0.066,680,296.48
23,0.157,0.842,0.812,0.874,0.404,0.065,720,308.697
24,0.163,0.839,0.821,0.861,0.389,0.064,760,304.967
25,0.164,0.839,0.813,0.867,0.376,0.064,800,313.142
26,0.15,0.846,0.843,0.85,0.367,0.063,840,313.445
27,0.147,0.854,0.853,0.854,0.357,0.062,880,318.234
28,0.158,0.856,0.851,0.862,0.345,0.062,920,331.667
29,0.172,0.85,0.843,0.858,0.339,0.061,960,332.262
30,0.158,0.864,0.844,0.885,0.339,0.059,1000,330.881
