,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.48,0.0,0.0,0.0,10,0.1,0.102,147.602
1,0.392,0.0,0.0,0.0,20,0.117,0.102,146.444
2,0.452,0.0,0.0,0.0,40,0.092,0.102,145.805
3,0.353,0.0,0.0,0.0,60,0.083,0.102,145.449
4,0.325,0.0,0.0,0.0,80,0.096,0.102,145.807
5,0.336,0.0,0.0,0.0,100,0.093,0.102,151.56
6,0.343,0.187,0.259,0.171,120,0.089,0.102,152.682
7,0.35,0.363,0.523,0.315,140,0.093,0.102,153.446
8,0.334,0.16,0.258,0.13,160,0.092,0.102,152.666
9,0.458,0.403,0.433,0.45,180,0.093,0.102,150.737
10,0.403,0.249,0.277,0.261,200,0.093,0.102,156.455
11,0.416,0.406,0.484,0.377,240,0.1,0.102,173.208
12,0.429,0.476,0.488,0.489,280,0.104,0.102,167.186
13,0.427,0.393,0.464,0.373,320,0.103,0.102,171.032
14,0.402,0.487,0.51,0.476,360,0.096,0.102,167.495
15,0.431,0.425,0.463,0.393,400,0.097,0.102,174.811
16,0.369,0.503,0.56,0.456,440,0.095,0.102,176.226
17,0.338,0.518,0.576,0.479,480,0.094,0.102,187.071
18,0.453,0.327,0.43,0.265,520,0.093,0.102,176.316
19,0.409,0.446,0.471,0.426,560,0.092,0.103,183.686
20,0.416,0.498,0.513,0.489,600,0.091,0.103,191.18
21,0.401,0.424,0.506,0.375,640,0.09,0.103,192.062
22,0.388,0.544,0.592,0.504,680,0.091,0.103,185.457
23,0.398,0.535,0.607,0.48,720,0.093,0.103,193.993
24,0.419,0.501,0.603,0.432,760,0.094,0.103,188.674
25,0.423,0.556,0.593,0.524,800,0.095,0.103,187.687
26,0.399,0.53,0.634,0.459,840,0.096,0.102,208.663
27,0.439,0.535,0.65,0.456,880,0.097,0.102,204.767
28,0.393,0.554,0.617,0.509,920,0.096,0.103,207.68
29,0.387,0.386,0.536,0.305,960,0.094,0.103,209.009
30,0.376,0.591,0.636,0.558,1000,0.095,0.103,207.486
31,0.354,0.549,0.62,0.5,1718,0.101,0.102,242.684
32,0.304,0.693,0.726,0.664,3437,0.101,0.102,323.985
33,0.258,0.709,0.769,0.658,6874,0.102,0.102,499.328
