,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.518,0.0,0.0,0.0,0.2,0.18,10,301.472
1,0.399,0.046,0.333,0.025,0.35,0.179,20,300.89
2,0.103,0.911,0.861,0.968,0.475,0.178,40,313.035
3,0.101,0.926,0.887,0.971,0.467,0.177,60,309.281
4,0.066,0.942,0.908,0.978,0.463,0.177,80,313.269
5,0.08,0.929,0.934,0.923,0.46,0.176,100,310.165
6,0.073,0.928,0.89,0.973,0.467,0.175,120,315.765
7,0.05,0.96,0.954,0.966,0.457,0.174,140,323.042
8,0.048,0.963,0.951,0.975,0.469,0.173,160,313.726
9,0.047,0.961,0.96,0.962,0.478,0.172,180,320.489
10,0.046,0.97,0.953,0.988,0.49,0.171,200,330.805
11,0.053,0.966,0.945,0.986,0.483,0.169,240,324.075
12,0.066,0.943,0.953,0.934,0.479,0.168,280,338.446
13,0.048,0.97,0.964,0.976,0.481,0.166,320,336.534
14,0.062,0.962,0.965,0.959,0.464,0.165,360,331.37
15,0.041,0.977,0.967,0.986,0.465,0.163,400,340.432
16,0.026,0.984,0.98,0.987,0.464,0.162,440,345.016
17,0.023,0.986,0.991,0.982,0.458,0.16,480,347.668
18,0.021,0.987,0.987,0.987,0.458,0.159,520,352.642
19,0.025,0.986,0.988,0.984,0.461,0.157,560,348.465
20,0.02,0.982,0.978,0.986,0.463,0.155,600,354.611
21,0.024,0.981,0.976,0.986,0.461,0.153,640,359.152
22,0.021,0.986,0.983,0.989,0.462,0.151,680,355.402
23,0.031,0.98,0.973,0.988,0.464,0.149,720,359.026
24,0.019,0.982,0.978,0.986,0.463,0.147,760,368.343
25,0.015,0.984,0.98,0.989,0.464,0.145,800,363.692
26,0.019,0.985,0.981,0.99,0.463,0.143,840,388.344
27,0.018,0.987,0.981,0.992,0.461,0.142,880,386.362
28,0.017,0.982,0.976,0.989,0.463,0.139,920,376.973
29,0.017,0.981,0.972,0.989,0.461,0.138,960,382.067
30,0.019,0.981,0.973,0.989,0.459,0.136,1000,391.589
