,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.122,0.164,0.211,0.202,0.0,0.0,18.531,0.014,0.0
1,0.082,0.047,0.085,0.09,8.944,4.472,24.521,0.011,0.0
2,0.047,0.069,0.041,0.087,8.944,4.472,24.542,0.024,0.001
3,0.044,0.059,0.092,0.076,8.944,4.472,24.871,0.026,0.001
4,0.038,0.057,0.041,0.088,8.944,4.472,24.626,0.019,0.001
5,0.024,0.055,0.102,0.089,8.944,4.472,29.942,0.009,0.001
6,0.038,0.039,0.079,0.083,8.944,4.472,24.14,0.008,0.001
7,0.071,0.074,0.141,0.054,8.944,4.472,23.58,0.013,0.001
8,0.033,0.037,0.076,0.08,8.944,4.472,23.462,0.015,0.001
9,0.043,0.036,0.049,0.071,8.944,4.472,25.838,0.02,0.002
10,0.023,0.011,0.047,0.024,8.944,4.472,18.627,0.023,0.002
11,0.01,0.016,0.044,0.017,8.944,4.472,23.469,0.02,0.002
12,0.019,0.014,0.037,0.008,8.944,4.472,32.177,0.019,0.002
13,0.015,0.026,0.073,0.036,8.944,4.472,28.367,0.016,0.002
14,0.03,0.037,0.03,0.048,8.944,4.472,22.791,0.017,0.002
15,0.031,0.022,0.052,0.021,8.944,4.472,33.465,0.016,0.002
16,0.02,0.018,0.026,0.024,8.944,4.472,30.752,0.015,0.002
17,0.032,0.014,0.033,0.029,8.944,4.472,30.126,0.015,0.002
18,0.021,0.022,0.034,0.019,8.944,4.472,26.363,0.014,0.002
19,0.018,0.019,0.019,0.034,8.944,4.472,30.215,0.013,0.002
20,0.037,0.029,0.017,0.041,8.944,4.472,30.89,0.013,0.002
