,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.336,0.164,0.312,0.111,200.0,200.0,266.584,0.08,0.094
1,0.388,0.351,0.592,0.254,260.0,230.0,297.897,0.129,0.092
2,0.234,0.658,0.81,0.554,340.0,270.0,291.504,0.195,0.088
3,0.207,0.694,0.78,0.632,420.0,310.0,295.29,0.263,0.081
4,0.162,0.8,0.846,0.762,500.0,350.0,311.22,0.293,0.076
5,0.147,0.811,0.816,0.806,580.0,390.0,308.238,0.328,0.069
6,0.15,0.826,0.848,0.806,660.0,430.0,312.153,0.342,0.064
7,0.127,0.853,0.854,0.852,740.0,470.0,323.428,0.352,0.058
8,0.151,0.831,0.813,0.852,820.0,510.0,319.432,0.359,0.053
9,0.141,0.845,0.878,0.816,900.0,550.0,325.656,0.361,0.048
10,0.143,0.852,0.87,0.834,980.0,590.0,333.837,0.372,0.041
11,0.152,0.816,0.785,0.852,1060.0,630.0,336.845,0.376,0.035
12,0.136,0.871,0.903,0.842,1140.0,670.0,347.659,0.376,0.029
13,0.126,0.867,0.882,0.852,1220.0,710.0,342.749,0.386,0.021
14,0.133,0.869,0.87,0.868,1300.0,750.0,348.416,0.386,0.015
15,0.137,0.864,0.879,0.85,1380.0,790.0,354.804,0.387,0.01
16,0.136,0.874,0.875,0.873,1451.0,825.5,352.9,0.381,0.007
17,0.131,0.873,0.885,0.86,1501.0,850.5,379.252,0.371,0.007
18,0.132,0.869,0.872,0.865,1546.0,873.0,369.687,0.361,0.006
19,0.128,0.861,0.899,0.826,1592.0,896.0,371.91,0.353,0.006
20,0.118,0.863,0.882,0.845,1636.0,918.0,369.303,0.345,0.005
