,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.065,0.204,0.305,0.192,0.0,0.0,16.45,0.016,0.001
1,0.088,0.266,0.367,0.224,10.954,5.477,19.443,0.016,0.001
2,0.146,0.264,0.184,0.261,10.159,5.079,8.757,0.05,0.002
3,0.101,0.335,0.336,0.292,10.159,5.079,13.682,0.053,0.003
4,0.064,0.258,0.118,0.24,14.67,7.335,12.008,0.071,0.004
5,0.04,0.31,0.333,0.302,15.773,7.887,9.743,0.07,0.005
6,0.032,0.077,0.018,0.109,22.468,11.234,8.639,0.072,0.006
7,0.022,0.031,0.037,0.069,22.468,11.234,14.418,0.061,0.006
8,0.026,0.032,0.027,0.058,22.468,11.234,12.005,0.057,0.006
9,0.029,0.029,0.061,0.036,22.468,11.234,8.283,0.05,0.006
10,0.013,0.02,0.037,0.012,22.468,11.234,13.491,0.048,0.006
11,0.04,0.064,0.092,0.049,22.468,11.234,19.246,0.044,0.006
12,0.017,0.045,0.091,0.046,22.468,11.234,5.833,0.04,0.006
13,0.018,0.021,0.037,0.029,22.468,11.234,15.809,0.042,0.006
14,0.013,0.01,0.026,0.016,22.468,11.234,7.076,0.041,0.007
15,0.026,0.027,0.045,0.031,22.468,11.234,7.693,0.037,0.006
16,0.007,0.012,0.014,0.024,22.468,11.234,9.133,0.033,0.006
17,0.012,0.011,0.003,0.02,22.468,11.234,6.498,0.032,0.006
18,0.01,0.004,0.023,0.014,22.468,11.234,7.171,0.031,0.006
19,0.021,0.022,0.037,0.022,22.468,11.234,15.585,0.032,0.007
20,0.012,0.031,0.055,0.031,22.468,11.234,7.181,0.03,0.007
