,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.32,0.497,0.605,0.435,200,365.655,0.103,0.107
1,0.259,0.682,0.815,0.591,280,396.317,0.192,0.103
2,0.234,0.711,0.79,0.654,360,404.348,0.277,0.096
3,0.19,0.784,0.823,0.754,440,413.211,0.317,0.09
4,0.165,0.824,0.865,0.786,520,409.458,0.344,0.084
5,0.149,0.838,0.864,0.819,600,419.799,0.362,0.078
6,0.146,0.851,0.886,0.819,680,428.781,0.368,0.072
7,0.132,0.874,0.912,0.84,760,438.984,0.384,0.065
8,0.135,0.865,0.89,0.843,840,436.574,0.392,0.059
9,0.102,0.897,0.919,0.877,920,452.726,0.396,0.052
10,0.105,0.889,0.922,0.859,1000,468.658,0.403,0.045
