,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.063,0.089,0.106,0.059,200.0,200.0,16.262,0.0,0.0
1,0.077,0.084,0.088,0.062,280.0,240.0,11.566,0.003,0.0
2,0.012,0.019,0.072,0.04,360.0,280.0,10.827,0.004,0.0
3,0.034,0.085,0.007,0.154,440.0,320.0,17.217,0.003,0.0
4,0.013,0.015,0.048,0.026,520.0,360.0,6.586,0.022,0.002
5,0.081,0.11,0.161,0.051,600.0,400.0,9.945,0.008,0.001
6,0.003,0.01,0.02,0.037,680.0,440.0,21.459,0.001,0.0
7,0.003,0.002,0.012,0.007,760.0,480.0,11.133,0.007,0.001
8,0.003,0.01,0.028,0.007,840.0,520.0,11.2,0.004,0.001
9,0.004,0.006,0.013,0.0,920.0,560.0,10.026,0.003,0.001
10,0.014,0.019,0.071,0.026,1000.0,600.0,17.617,0.005,0.001
11,0.023,0.001,0.026,0.022,1080.0,640.0,11.936,0.014,0.003
12,0.01,0.004,0.004,0.004,1160.0,680.0,11.164,0.013,0.003
13,0.006,0.026,0.052,0.0,1240.0,720.0,12.444,0.011,0.002
14,0.013,0.009,0.015,0.004,1312.0,756.0,9.415,0.006,0.001
15,0.015,0.019,0.053,0.011,1357.0,778.5,13.845,0.004,0.001
16,0.009,0.003,0.01,0.004,1411.0,805.5,13.099,0.005,0.001
17,0.004,0.004,0.03,0.018,1459.0,829.5,17.876,0.006,0.001
18,0.003,0.008,0.001,0.015,1501.0,850.5,16.619,0.006,0.001
19,0.004,0.021,0.043,0.0,1541.0,870.5,22.191,0.006,0.001
20,0.001,0.01,0.008,0.011,1589.0,894.5,11.124,0.004,0.001
