,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.046,0.299,0.311,0.29,200,28.313,0.013,0.0
1,0.041,0.014,0.058,0.051,280,15.669,0.036,0.002
2,0.028,0.036,0.087,0.062,360,12.67,0.038,0.003
3,0.021,0.034,0.064,0.061,440,6.763,0.042,0.003
4,0.014,0.01,0.016,0.026,520,11.363,0.038,0.004
5,0.019,0.014,0.07,0.047,600,10.415,0.031,0.004
6,0.024,0.02,0.011,0.034,680,0.647,0.032,0.004
7,0.008,0.016,0.008,0.032,760,17.857,0.028,0.004
8,0.036,0.035,0.032,0.058,840,6.804,0.021,0.004
9,0.006,0.009,0.01,0.027,920,7.666,0.024,0.005
10,0.006,0.014,0.014,0.018,1000,15.587,0.02,0.004
