,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.174,0.893,0.884,0.902,200,200,541.62,0.189,0.186
1,0.125,0.916,0.908,0.926,240,220,696.543,0.238,0.185
2,0.111,0.929,0.927,0.931,280,240,683.572,0.274,0.185
3,0.114,0.931,0.906,0.958,320,260,674.215,0.304,0.184
4,0.113,0.935,0.944,0.925,360,280,681.808,0.319,0.183
5,0.107,0.94,0.934,0.945,400,300,703.412,0.344,0.182
6,0.095,0.944,0.932,0.956,440,320,725.836,0.358,0.182
7,0.097,0.945,0.933,0.958,480,340,736.327,0.364,0.181
8,0.108,0.94,0.933,0.948,520,360,716.323,0.37,0.18
9,0.098,0.945,0.946,0.944,560,380,728.43,0.38,0.18
10,0.1,0.946,0.939,0.953,600,400,736.01,0.39,0.179
11,0.101,0.947,0.946,0.948,640,420,760.72,0.395,0.178
12,0.091,0.949,0.942,0.956,680,440,777.291,0.403,0.177
13,0.1,0.943,0.941,0.947,720,460,802.15,0.406,0.177
14,0.099,0.945,0.945,0.946,760,480,787.072,0.411,0.176
15,0.101,0.946,0.942,0.951,800,500,821.459,0.417,0.175
16,0.096,0.949,0.945,0.952,840,520,822.051,0.419,0.174
17,0.094,0.946,0.944,0.948,880,540,835.65,0.424,0.173
18,0.097,0.946,0.941,0.95,920,560,832.766,0.428,0.173
19,0.1,0.948,0.941,0.954,960,580,807.652,0.429,0.172
20,0.102,0.949,0.942,0.956,1000,600,836.869,0.431,0.171
