,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,positive_rate
0,0.08281291276216507,0.9415656008820288,0.9222462203023758,0.9617117117117117,200,174.55485939979553,0.225
1,0.05122235789895058,0.962719298245614,0.938034188034188,0.9887387387387387,240,199.76998829841614,0.25416666666666665
2,0.04830113798379898,0.9700996677740864,0.954248366013072,0.9864864864864865,280,197.21843123435974,0.275
3,0.04105371981859207,0.9710467706013363,0.960352422907489,0.9819819819819819,320,204.1945641040802,0.284375
4,0.03970596194267273,0.96875,0.9601769911504425,0.9774774774774775,360,193.04958605766296,0.3055555555555556
5,0.02395760454237461,0.9831649831649831,0.9798657718120806,0.9864864864864865,400,195.12855434417725,0.325
6,0.021608030423521996,0.9865168539325843,0.984304932735426,0.9887387387387387,440,194.43928909301758,0.3431818181818182
7,0.02303408645093441,0.9853768278965129,0.9842696629213483,0.9864864864864865,480,197.77892994880676,0.35833333333333334
8,0.02617105282843113,0.9842696629213483,0.9820627802690582,0.9864864864864865,520,201.8523736000061,0.36730769230769234
9,0.018558740615844727,0.9864864864864865,0.9864864864864865,0.9864864864864865,560,205.68216371536255,0.3732142857142857
10,0.020753806456923485,0.9876265466816648,0.9865168539325843,0.9887387387387387,600,205.98085570335388,0.38
11,0.01671472378075123,0.9909706546275394,0.9932126696832579,0.9887387387387387,640,203.43742084503174,0.3875
12,0.020420091226696968,0.987598647125141,0.9887133182844243,0.9864864864864865,680,208.43333649635315,0.3941176470588235
13,0.020923905074596405,0.9853438556933484,0.9864559819413092,0.9842342342342343,720,212.75850129127502,0.4027777777777778
14,0.018120046705007553,0.9864864864864865,0.9864864864864865,0.9864864864864865,760,212.5821409225464,0.40789473684210525
15,0.018002744764089584,0.9875424688561721,0.9931662870159453,0.9819819819819819,800,210.60232210159302,0.4125
16,0.014836269430816174,0.9898534385569334,0.9909706546275395,0.9887387387387387,840,223.87592220306396,0.4166666666666667
17,0.015261633321642876,0.990990990990991,0.990990990990991,0.990990990990991,880,224.36743927001953,0.4238636363636364
18,0.016327740624547005,0.9898989898989898,0.9865771812080537,0.9932432432432432,920,229.5019760131836,0.4260869565217391
19,0.016602851450443268,0.9876265466816648,0.9865168539325843,0.9887387387387387,960,238.0040853023529,0.42916666666666664
20,0.01800760067999363,0.9876265466816648,0.9865168539325843,0.9887387387387387,1000,239.82314658164978,0.432
21,0.02115646004676819,0.984304932735426,0.9799107142857143,0.9887387387387387,1040,232.2652552127838,0.4346153846153846
22,0.01478733029216528,0.9898762654668166,0.9887640449438202,0.990990990990991,1080,232.27569937705994,0.43703703703703706
23,0.01655697636306286,0.987598647125141,0.9887133182844243,0.9864864864864865,1120,239.95411586761475,0.4392857142857143
24,0.01658163033425808,0.9887387387387387,0.9887387387387387,0.9887387387387387,1160,244.95392656326294,0.44051724137931036
25,0.019015680998563766,0.9864864864864865,0.9864864864864865,0.9864864864864865,1200,251.37280821800232,0.4425
26,0.017578735947608948,0.9853768278965129,0.9842696629213483,0.9864864864864865,1240,255.36156368255615,0.4443548387096774
27,0.015583758242428303,0.9876265466816648,0.9865168539325843,0.9887387387387387,1280,249.8278374671936,0.4453125
28,0.016997080296278,0.9876265466816648,0.9865168539325843,0.9887387387387387,1320,249.6042537689209,0.4462121212121212
29,0.012767543084919453,0.9887387387387387,0.9887387387387387,0.9887387387387387,1360,259.5807960033417,0.44779411764705884
30,0.02083193138241768,0.9853768278965129,0.9842696629213483,0.9864864864864865,1400,266.35028982162476,0.45
31,0.01569274067878723,0.9887387387387387,0.9887387387387387,0.9887387387387387,1440,279.44309735298157,0.4513888888888889
32,0.013914804905653,0.9887387387387387,0.9887387387387387,0.9887387387387387,1480,264.9915380477905,0.4527027027027027
33,0.019481953233480453,0.9853768278965129,0.9842696629213483,0.9864864864864865,1520,271.3854956626892,0.45394736842105265
34,0.019896818324923515,0.987598647125141,0.9887133182844243,0.9864864864864865,1560,278.4574661254883,0.4551282051282051
35,0.013602829538285732,0.9887640449438202,0.9865470852017937,0.990990990990991,1600,282.3092188835144,0.45625
36,0.017487701028585434,0.9842696629213483,0.9820627802690582,0.9864864864864865,1640,280.07126450538635,0.4573170731707317
37,0.015715399757027626,0.9898534385569334,0.9909706546275395,0.9887387387387387,1680,283.11140990257263,0.4583333333333333
38,0.017473924905061722,0.9876265466816648,0.9865168539325843,0.9887387387387387,1720,293.6964159011841,0.45930232558139533
39,0.01628861390054226,0.987598647125141,0.9887133182844243,0.9864864864864865,1760,299.8755600452423,0.4596590909090909
40,0.02079470083117485,0.9842696629213483,0.9820627802690582,0.9864864864864865,1800,290.44533920288086,0.46
41,0.01573130488395691,0.9865168539325843,0.984304932735426,0.9887387387387387,1840,296.79867815971375,0.4608695652173913
42,0.012248996645212173,0.9864864864864865,0.9864864864864865,0.9864864864864865,1880,310.40406465530396,0.46170212765957447
43,0.02011602558195591,0.9831271091113611,0.9820224719101124,0.9842342342342343,1920,316.56408071517944,0.4625
44,0.01618346944451332,0.983050847457627,0.9863945578231292,0.9797297297297297,1960,311.16977286338806,0.463265306122449
45,0.016701173037290573,0.9864559819413092,0.9886877828054299,0.9842342342342343,2000,321.3325433731079,0.464
