,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time
0,0.07498359680175781,0.9465478841870824,0.9361233480176211,0.9572072072072072,200,129.27970957756042
1,0.0614389069378376,0.9592061742006616,0.9395248380129589,0.9797297297297297,240,141.14625310897827
2,0.05165334418416023,0.9554831704668838,0.9224318658280922,0.990990990990991,280,140.646404504776
3,0.05315351486206055,0.967670011148272,0.9580573951434879,0.9774774774774775,320,141.84811997413635
4,0.04087245464324951,0.9753914988814317,0.9688888888888889,0.9819819819819819,360,150.45241045951843
5,0.033984530717134476,0.9799107142857142,0.9712389380530974,0.9887387387387387,400,148.0247015953064
6,0.021265603601932526,0.9865168539325843,0.984304932735426,0.9887387387387387,440,148.1811180114746
7,0.02250521071255207,0.9865470852017937,0.9821428571428571,0.990990990990991,480,147.01038455963135
8,0.024124352261424065,0.9810055865921787,0.9733924611973392,0.9887387387387387,520,156.94808292388916
9,0.018585147336125374,0.9876543209876544,0.9843400447427293,0.990990990990991,560,154.10137295722961
10,0.020074043422937393,0.9853768278965129,0.9842696629213483,0.9864864864864865,600,168.1603934764862
11,0.021788209676742554,0.9854096520763187,0.9821029082774049,0.9887387387387387,640,154.288756608963
12,0.02587776817381382,0.9810479375696767,0.9713024282560706,0.990990990990991,680,154.70697355270386
13,0.019950592890381813,0.9865470852017937,0.9821428571428571,0.990990990990991,720,164.43129777908325
14,0.016461186110973358,0.9831271091113611,0.9820224719101124,0.9842342342342343,760,160.9891757965088
15,0.01598699949681759,0.9853438556933484,0.9864559819413092,0.9842342342342343,800,160.93655920028687
16,0.017919285222887993,0.9864864864864865,0.9864864864864865,0.9864864864864865,840,162.05899500846863
17,0.015869440510869026,0.9854096520763187,0.9821029082774049,0.9887387387387387,880,162.31884741783142
18,0.016368309035897255,0.9865168539325843,0.984304932735426,0.9887387387387387,920,163.88805174827576
19,0.016231533139944077,0.987598647125141,0.9887133182844243,0.9864864864864865,960,172.87541317939758
20,0.013945367187261581,0.9864559819413092,0.9886877828054299,0.9842342342342343,1000,171.92054843902588
