,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.345,0.39,0.588,0.323,200,200,373.073,0.107,0.107
1,0.297,0.509,0.623,0.472,240,220,411.213,0.158,0.105
2,0.273,0.598,0.725,0.548,280,240,413.319,0.201,0.102
3,0.234,0.733,0.831,0.663,320,260,414.591,0.234,0.1
4,0.222,0.755,0.852,0.683,360,280,417.046,0.269,0.096
5,0.198,0.771,0.868,0.703,400,300,422.124,0.296,0.093
6,0.192,0.794,0.861,0.742,440,320,420.977,0.31,0.09
7,0.194,0.799,0.878,0.741,480,340,421.582,0.326,0.087
8,0.161,0.836,0.885,0.794,520,360,425.51,0.342,0.084
9,0.169,0.811,0.844,0.787,560,380,424.899,0.352,0.081
10,0.151,0.84,0.891,0.797,600,400,435.469,0.36,0.078
11,0.132,0.853,0.893,0.819,640,420,434.406,0.367,0.075
12,0.14,0.85,0.892,0.815,680,440,443.003,0.375,0.071
13,0.148,0.85,0.894,0.812,720,460,445.093,0.382,0.068
14,0.127,0.869,0.914,0.829,760,480,444.475,0.385,0.065
15,0.134,0.873,0.884,0.862,800,500,458.133,0.391,0.061
16,0.126,0.876,0.913,0.843,840,520,453.914,0.395,0.058
17,0.123,0.879,0.914,0.848,880,540,453.152,0.4,0.054
18,0.109,0.883,0.897,0.87,920,560,468.568,0.401,0.051
19,0.105,0.893,0.914,0.873,960,580,458.399,0.405,0.048
20,0.098,0.895,0.926,0.867,1000,600,461.505,0.407,0.044
