,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.242,0.727,0.766,0.692,0.102,0.102,0,549.796
1,0.351,0.0,0.0,0.0,0.2,0.101,20,187.771
2,0.297,0.0,0.0,0.0,0.225,0.101,40,194.857
3,0.286,0.002,0.1,0.001,0.233,0.101,60,200.103
4,0.277,0.126,0.407,0.088,0.262,0.1,80,194.827
5,0.302,0.122,0.288,0.083,0.22,0.1,100,199.214
6,0.346,0.129,0.3,0.085,0.208,0.1,120,199.794
7,0.351,0.24,0.439,0.18,0.186,0.1,140,206.07
8,0.288,0.381,0.485,0.325,0.2,0.099,160,207.673
9,0.32,0.438,0.456,0.437,0.217,0.099,180,207.27
10,0.306,0.475,0.463,0.531,0.245,0.097,200,206.887
11,0.307,0.557,0.529,0.595,0.275,0.096,240,207.92
12,0.302,0.583,0.543,0.64,0.307,0.093,280,209.895
13,0.317,0.579,0.576,0.584,0.316,0.091,320,215.154
14,0.285,0.58,0.57,0.612,0.333,0.089,360,218.833
15,0.313,0.583,0.599,0.575,0.332,0.088,400,225.326
16,0.293,0.585,0.65,0.535,0.35,0.085,440,231.209
17,0.285,0.579,0.632,0.543,0.352,0.083,480,234.201
18,0.32,0.604,0.635,0.578,0.362,0.081,520,233.877
19,0.311,0.598,0.656,0.55,0.371,0.078,560,238.603
20,0.303,0.608,0.653,0.569,0.38,0.075,600,246.074
21,0.279,0.648,0.675,0.623,0.384,0.073,640,246.006
22,0.302,0.639,0.669,0.613,0.384,0.071,680,245.218
23,0.289,0.661,0.702,0.626,0.386,0.069,720,246.028
24,0.33,0.525,0.532,0.52,0.378,0.068,760,253.848
25,0.29,0.641,0.673,0.612,0.366,0.068,800,250.409
26,0.304,0.642,0.671,0.615,0.36,0.067,840,256.061
27,0.306,0.627,0.666,0.596,0.347,0.067,880,255.696
28,0.316,0.641,0.672,0.617,0.345,0.066,920,269.576
29,0.297,0.643,0.684,0.607,0.339,0.065,960,268.213
30,0.312,0.652,0.686,0.621,0.33,0.065,1000,277.232
