,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.009,0.006,0.016,0.008,200,200,34.673,0.0,0.0
1,0.003,0.005,0.006,0.006,280,240,33.571,0.035,0.001
2,0.004,0.001,0.005,0.007,360,280,26.397,0.045,0.002
3,0.0,0.002,0.006,0.002,440,320,29.763,0.022,0.001
4,0.001,0.001,0.005,0.003,520,360,30.51,0.023,0.002
5,0.003,0.0,0.003,0.003,600,400,30.312,0.021,0.002
6,0.005,0.002,0.006,0.002,680,440,25.52,0.019,0.002
7,0.003,0.001,0.001,0.001,760,480,24.696,0.019,0.002
8,0.006,0.003,0.004,0.003,840,520,28.007,0.015,0.002
9,0.003,0.002,0.001,0.003,920,560,20.52,0.014,0.002
10,0.002,0.004,0.012,0.005,1000,600,24.069,0.013,0.002
11,0.006,0.003,0.003,0.003,1080,640,18.774,0.012,0.002
12,0.001,0.002,0.002,0.002,1160,680,19.674,0.01,0.002
13,0.001,0.002,0.001,0.003,1240,720,19.317,0.01,0.002
14,0.002,0.002,0.006,0.003,1320,760,16.844,0.009,0.002
15,0.004,0.001,0.001,0.003,1400,800,28.734,0.009,0.002
16,0.001,0.002,0.005,0.001,1480,840,33.304,0.008,0.002
17,0.003,0.001,0.001,0.001,1560,880,24.468,0.008,0.002
18,0.003,0.001,0.003,0.001,1640,920,22.719,0.007,0.002
19,0.0,0.001,0.001,0.003,1720,960,24.666,0.007,0.002
20,0.002,0.001,0.003,0.005,1800,1000,30.624,0.007,0.002
