,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.068,0.954,0.937,0.971,200,200,300.741,0.195,0.179
1,0.043,0.974,0.97,0.979,280,240,338.475,0.255,0.177
2,0.018,0.987,0.989,0.984,360,280,352.615,0.298,0.174
3,0.022,0.988,0.989,0.986,440,320,359.549,0.34,0.169
4,0.018,0.986,0.989,0.984,520,360,362.676,0.369,0.165
5,0.016,0.989,0.99,0.989,600,400,366.284,0.388,0.161
6,0.017,0.989,0.989,0.989,680,440,375.378,0.401,0.157
7,0.017,0.988,0.99,0.986,760,480,389.313,0.413,0.153
8,0.016,0.988,0.988,0.988,840,520,384.18,0.421,0.149
9,0.017,0.987,0.987,0.987,920,560,384.61,0.429,0.144
10,0.015,0.989,0.991,0.987,1000,600,399.728,0.434,0.14
11,0.013,0.991,0.992,0.989,1080,640,421.185,0.439,0.135
12,0.013,0.99,0.992,0.988,1160,680,412.395,0.443,0.131
13,0.015,0.988,0.99,0.986,1240,720,412.173,0.447,0.126
14,0.012,0.99,0.992,0.988,1320,760,408.778,0.45,0.121
15,0.018,0.988,0.99,0.986,1400,800,424.43,0.453,0.116
16,0.017,0.989,0.992,0.986,1480,840,430.542,0.456,0.111
17,0.012,0.991,0.992,0.99,1560,880,455.376,0.458,0.105
18,0.013,0.99,0.994,0.986,1640,920,452.085,0.46,0.1
19,0.015,0.989,0.993,0.986,1720,960,453.233,0.462,0.094
20,0.012,0.99,0.992,0.988,1800,1000,470.155,0.463,0.089
