,f1,precision,recall,times
1186,0.5239616613418531,0.7663551401869159,0.39805825242718446,0.34402036666870117
1187,0.4935897435897435,0.7264150943396226,0.3737864077669903,0.40207624435424805
1188,0.4903225806451613,0.7307692307692307,0.36893203883495146,0.3753931522369385
1189,0.526984126984127,0.7614678899082569,0.4029126213592233,0.3526639938354492
1190,0.5194805194805194,0.7843137254901961,0.3883495145631068,0.34235262870788574
1191,0.5161290322580646,0.7692307692307693,0.3883495145631068,0.35502123832702637
1192,0.5144694533762058,0.7619047619047619,0.3883495145631068,0.36683106422424316
1193,0.5253164556962026,0.7545454545454545,0.4029126213592233,0.4380302429199219
1194,0.525,0.7368421052631579,0.4077669902912621,0.3519625663757324
1195,0.5345911949685535,0.7589285714285714,0.41262135922330095,0.34528422355651855
1196,0.5345911949685535,0.7589285714285714,0.41262135922330095,0.36400890350341797
1197,0.5345911949685535,0.7589285714285714,0.41262135922330095,0.3603689670562744
1198,0.5080385852090031,0.7523809523809524,0.38349514563106796,0.36051440238952637
1199,0.5316455696202531,0.7636363636363637,0.4077669902912621,0.34694743156433105
1200,0.526984126984127,0.7614678899082569,0.4029126213592233,0.3490915298461914
1201,0.5362776025236593,0.7657657657657657,0.41262135922330095,0.3452792167663574
1202,0.5408805031446542,0.7678571428571429,0.4174757281553398,0.35288548469543457
1203,0.5286624203821656,0.7685185185185185,0.4029126213592233,0.34358954429626465
1204,0.5256410256410255,0.7735849056603774,0.39805825242718446,0.3618488311767578
1205,0.511326860841424,0.7669902912621359,0.38349514563106796,0.3457159996032715
1206,0.5324675324675324,0.803921568627451,0.39805825242718446,0.3800954818725586
1207,0.5256410256410255,0.7735849056603774,0.39805825242718446,0.35252976417541504
1208,0.5256410256410255,0.7735849056603774,0.39805825242718446,0.35146617889404297
1209,0.5163398692810457,0.79,0.38349514563106796,0.36471033096313477
1210,0.5209003215434084,0.7714285714285715,0.3932038834951456,0.3482089042663574
1211,0.5206349206349207,0.7522935779816514,0.39805825242718446,0.34016871452331543
1212,0.501628664495114,0.7623762376237624,0.3737864077669903,0.3427011966705322
1213,0.5225806451612903,0.7788461538461539,0.3932038834951456,0.34316325187683105
1214,0.506578947368421,0.7857142857142857,0.3737864077669903,0.3548731803894043
1215,0.538961038961039,0.8137254901960784,0.4029126213592233,0.3736860752105713
1216,0.50814332247557,0.7722772277227723,0.3786407766990291,0.35582661628723145
1217,0.4951140065146579,0.7524752475247525,0.36893203883495146,0.34110069274902344
1218,0.5286624203821656,0.7685185185185185,0.4029126213592233,0.341066837310791
1219,0.518987341772152,0.7454545454545455,0.39805825242718446,0.354034423828125
1220,0.5222929936305732,0.7592592592592593,0.39805825242718446,0.35106611251831055
1221,0.526984126984127,0.7614678899082569,0.4029126213592233,0.37170886993408203
1222,0.517799352750809,0.7766990291262136,0.3883495145631068,0.36242079734802246
1223,0.5161290322580646,0.7692307692307693,0.3883495145631068,0.34950971603393555
1224,0.5206349206349207,0.7522935779816514,0.39805825242718446,0.3461418151855469
1225,0.5209003215434084,0.7714285714285715,0.3932038834951456,0.3581838607788086
1226,0.5206349206349207,0.7522935779816514,0.39805825242718446,0.36328935623168945
1227,0.5266457680250783,0.7433628318584071,0.4077669902912621,0.3510019779205322
1228,0.5316455696202531,0.7636363636363637,0.4077669902912621,0.3420441150665283
1229,0.5477707006369426,0.7962962962962963,0.4174757281553398,0.3444061279296875
1230,0.5222929936305732,0.7592592592592593,0.39805825242718446,0.3484635353088379
1231,0.5080385852090031,0.7523809523809524,0.38349514563106796,0.34473729133605957
1232,0.5345911949685535,0.7589285714285714,0.41262135922330095,0.37154364585876465
1233,0.5142857142857143,0.7431192660550459,0.3932038834951456,0.35090065002441406
1234,0.5111821086261981,0.7476635514018691,0.3883495145631068,0.3489398956298828
1235,0.5222929936305732,0.7592592592592593,0.39805825242718446,0.3435227870941162
1236,0.5142857142857143,0.7431192660550459,0.3932038834951456,0.36014413833618164
1237,0.5047923322683705,0.7383177570093458,0.38349514563106796,0.34982728958129883
1238,0.5064935064935064,0.7647058823529411,0.3786407766990291,0.3688385486602783
1239,0.5111821086261981,0.7476635514018691,0.3883495145631068,0.3533322811126709
1240,0.5128205128205128,0.7547169811320755,0.3883495145631068,0.3502199649810791
1241,0.5242718446601942,0.7864077669902912,0.3932038834951456,0.41303372383117676
1242,0.525974025974026,0.7941176470588235,0.3932038834951456,0.3658139705657959
1243,0.5142857142857143,0.7431192660550459,0.3932038834951456,0.37888145446777344
1244,0.5128205128205128,0.7547169811320755,0.3883495145631068,0.35099148750305176
1245,0.517799352750809,0.7766990291262136,0.3883495145631068,0.34789204597473145
1246,0.5080385852090031,0.7523809523809524,0.38349514563106796,0.34824681282043457
1247,0.5209003215434084,0.7714285714285715,0.3932038834951456,0.35744738578796387
1248,0.5225806451612903,0.7788461538461539,0.3932038834951456,0.3443489074707031
1249,0.512987012987013,0.7745098039215687,0.38349514563106796,0.4171764850616455
1250,0.47682119205298007,0.75,0.34951456310679613,0.3543531894683838
1251,0.4967741935483871,0.7403846153846154,0.3737864077669903,0.344252347946167
1252,0.512987012987013,0.7745098039215687,0.38349514563106796,0.34951329231262207
1253,0.5206349206349207,0.7522935779816514,0.39805825242718446,0.3521294593811035
1254,0.5396825396825397,0.7798165137614679,0.41262135922330095,0.36864686012268066
1255,0.5128205128205128,0.7547169811320755,0.3883495145631068,0.37842631340026855
1256,0.5256410256410255,0.7735849056603774,0.39805825242718446,0.37139892578125
1257,0.5064935064935064,0.7647058823529411,0.3786407766990291,0.37523651123046875
1258,0.5159235668789809,0.75,0.3932038834951456,0.36203646659851074
1259,0.5159235668789809,0.75,0.3932038834951456,0.3453950881958008
1260,0.5220125786163522,0.7410714285714286,0.4029126213592233,0.37082529067993164
1261,0.5175718849840255,0.7570093457943925,0.3932038834951456,0.34677982330322266
1262,0.5239616613418531,0.7663551401869159,0.39805825242718446,0.3633255958557129
1263,0.5159235668789809,0.75,0.3932038834951456,0.3673584461212158
1264,0.5111821086261981,0.7476635514018691,0.3883495145631068,0.3589944839477539
1265,0.5425867507886435,0.7747747747747747,0.4174757281553398,0.3622419834136963
1266,0.5209003215434084,0.7714285714285715,0.3932038834951456,0.3498501777648926
1267,0.5128205128205128,0.7547169811320755,0.3883495145631068,0.3495652675628662
1268,0.5111821086261981,0.7476635514018691,0.3883495145631068,0.3490414619445801
