,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time
0,0.058473605662584305,0.9668141592920354,0.95,0.9842342342342343,500,193.6503038406372
1,0.0279432013630867,0.9819413092550789,0.9841628959276018,0.9797297297297297,540,208.26550340652466
2,0.0335238054394722,0.9819413092550789,0.9841628959276018,0.9797297297297297,580,220.0686058998108
3,0.02409953810274601,0.9799107142857142,0.9712389380530974,0.9887387387387387,620,219.83407068252563
4,0.01584598980844021,0.9898762654668166,0.9887640449438202,0.990990990990991,660,228.2153069972992
5,0.020639726892113686,0.9854096520763187,0.9821029082774049,0.9887387387387387,700,232.28400182724
6,0.01600056141614914,0.9886877828054299,0.9931818181818182,0.9842342342342343,740,237.05998539924622
7,0.021427670493721962,0.9864559819413092,0.9886877828054299,0.9842342342342343,780,246.03424429893494
8,0.013870908878743649,0.992108229988726,0.9932279909706546,0.990990990990991,820,255.47024512290955
9,0.015593229793012142,0.9875424688561721,0.9931662870159453,0.9819819819819819,860,256.1374273300171
10,0.017750151455402374,0.9853438556933484,0.9864559819413092,0.9842342342342343,900,261.1135723590851
11,0.016507811844348907,0.9876543209876544,0.9843400447427293,0.990990990990991,940,270.09497332572937
12,0.015438517555594444,0.9864864864864865,0.9864864864864865,0.9864864864864865,980,269.36604380607605
13,0.01518138125538826,0.9865470852017937,0.9821428571428571,0.990990990990991,1020,275.27421522140503
14,0.01255934126675129,0.9864559819413092,0.9886877828054299,0.9842342342342343,1060,281.56271290779114
15,0.013509436510503292,0.9876265466816648,0.9865168539325843,0.9887387387387387,1100,293.0715606212616
16,0.017035404220223427,0.987598647125141,0.9887133182844243,0.9864864864864865,1140,297.54207968711853
17,0.016424700617790222,0.9853438556933484,0.9864559819413092,0.9842342342342343,1180,297.6527907848358
18,0.015635427087545395,0.9865470852017937,0.9821428571428571,0.990990990990991,1220,306.23041009902954
19,0.016908157616853714,0.9876543209876544,0.9843400447427293,0.990990990990991,1260,309.9764895439148
20,0.014360127970576286,0.984304932735426,0.9799107142857143,0.9887387387387387,1300,304.5396316051483
