,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,positive_rate
0,0.26316165924072266,0.5714285714285715,0.5789473684210527,0.5641025641025641,200,112.55986094474792,0.145
1,0.30081915855407715,0.5547445255474452,0.6440677966101694,0.48717948717948717,240,115.30765771865845,0.175
2,0.320017546415329,0.5969498910675382,0.6088888888888889,0.5854700854700855,280,118.61198735237122,0.22142857142857142
3,0.4372386634349823,0.5128205128205128,0.6410256410256411,0.42735042735042733,320,124.96553230285645,0.2375
4,0.3518490791320801,0.528,0.7021276595744681,0.4230769230769231,360,127.5686423778534,0.25555555555555554
5,0.3390780985355377,0.5501285347043702,0.6903225806451613,0.45726495726495725,400,127.65280270576477,0.2725
6,0.3437087833881378,0.5867970660146699,0.6857142857142857,0.5128205128205128,440,129.76947832107544,0.2909090909090909
7,0.3396803140640259,0.6046511627906976,0.6632653061224489,0.5555555555555556,480,131.17061471939087,0.3020833333333333
8,0.32192566990852356,0.5990566037735849,0.6684210526315789,0.5427350427350427,520,139.68949818611145,0.3153846153846154
9,0.2966597080230713,0.625,0.6542056074766355,0.5982905982905983,560,138.42465329170227,0.32142857142857145
10,0.28985530138015747,0.645021645021645,0.6535087719298246,0.6367521367521367,600,140.51577830314636,0.3333333333333333
11,0.34908953309059143,0.6516853932584269,0.6872037914691943,0.6196581196581197,640,142.61340594291687,0.334375
12,0.27716174721717834,0.6026200873362446,0.6160714285714286,0.5897435897435898,680,142.92870783805847,0.3411764705882353
13,0.3058074414730072,0.6470588235294118,0.7586206896551724,0.5641025641025641,720,149.61009907722473,0.3472222222222222
14,0.3224722445011139,0.583710407239819,0.6201923076923077,0.5512820512820513,760,153.56594443321228,0.35657894736842105
15,0.2831414043903351,0.6355140186915889,0.7010309278350515,0.5811965811965812,800,154.3295590877533,0.35875
16,0.2922596335411072,0.636144578313253,0.7292817679558011,0.5641025641025641,840,157.11467266082764,0.36904761904761907
17,0.3240531384944916,0.6172248803827752,0.7010869565217391,0.5512820512820513,880,158.0943832397461,0.375
18,0.30355972051620483,0.6651376146788991,0.7178217821782178,0.6196581196581197,920,158.30931639671326,0.3793478260869565
19,0.30483174324035645,0.6216867469879518,0.712707182320442,0.5512820512820513,960,159.88435626029968,0.378125
20,0.2704251706600189,0.631578947368421,0.6798029556650246,0.5897435897435898,1000,161.14685559272766,0.381
21,0.2545498311519623,0.6526806526806527,0.717948717948718,0.5982905982905983,1040,164.2397665977478,0.37884615384615383
22,0.28438401222229004,0.6328502415458938,0.7277777777777777,0.5598290598290598,1080,162.82990312576294,0.37962962962962965
23,0.29013919830322266,0.6637744034707158,0.6740088105726872,0.6538461538461539,1120,167.2783238887787,0.38035714285714284
24,0.30344074964523315,0.6454545454545455,0.6893203883495146,0.6068376068376068,1160,169.3623230457306,0.38017241379310346
25,0.27923783659935,0.6840855106888362,0.7700534759358288,0.6153846153846154,1200,169.95318627357483,0.37833333333333335
26,0.28519371151924133,0.6744186046511628,0.7397959183673469,0.6196581196581197,1240,175.84284949302673,0.3790322580645161
27,0.276038259267807,0.6682808716707023,0.770949720670391,0.5897435897435898,1280,174.1659290790558,0.3796875
28,0.25238919258117676,0.6714285714285715,0.7580645161290323,0.6025641025641025,1320,177.43334817886353,0.38181818181818183
29,0.2559388279914856,0.6820276497695852,0.74,0.6324786324786325,1360,176.40238523483276,0.38529411764705884
30,0.2697218358516693,0.6682464454976302,0.75,0.6025641025641025,1400,177.75664138793945,0.38857142857142857
31,0.2594088912010193,0.6552567237163813,0.7657142857142857,0.5726495726495726,1440,182.87862730026245,0.3875
32,0.23589861392974854,0.691764705882353,0.7696335078534031,0.6282051282051282,1480,187.01629424095154,0.38513513513513514
33,0.2910184860229492,0.669833729216152,0.7540106951871658,0.6025641025641025,1520,189.84165239334106,0.38026315789473686
34,0.25075191259384155,0.6944444444444444,0.7575757575757576,0.6410256410256411,1552,191.99144005775452,0.3756443298969072
35,0.2527153491973877,0.707838479809976,0.7967914438502673,0.6367521367521367,1588,196.562979221344,0.371536523929471
36,0.2389017939567566,0.7194244604316549,0.819672131147541,0.6410256410256411,1620,196.3653655052185,0.37037037037037035
37,0.25731584429740906,0.7156398104265403,0.8031914893617021,0.6452991452991453,1644,188.32535791397095,0.3661800486618005
38,0.23504681885242462,0.7056074766355139,0.7783505154639175,0.6452991452991453,1668,198.93979740142822,0.3645083932853717
39,0.24760060012340546,0.7227272727272728,0.7718446601941747,0.6794871794871795,1696,199.98211002349854,0.36202830188679247
40,0.23847702145576477,0.7297921478060048,0.7939698492462312,0.6752136752136753,1728,199.1111879348755,0.3599537037037037
41,0.24473854899406433,0.6997635933806147,0.783068783068783,0.6324786324786325,1758,203.0669605731964,0.35494880546075086
42,0.23437707126140594,0.7098214285714286,0.7429906542056075,0.6794871794871795,1784,200.3061225414276,0.35257847533632286
43,0.23452331125736237,0.7086247086247086,0.7794871794871795,0.6495726495726496,1814,205.46306157112122,0.3467475192943771
44,0.2389896661043167,0.6921241050119332,0.7837837837837838,0.6196581196581197,1836,205.73258185386658,0.3431372549019608
45,0.2031172513961792,0.7053364269141532,0.7715736040609137,0.6495726495726496,1866,210.5206000804901,0.3392282958199357
