,test_loss,test_prec,test_recall,test_f1,labeled_instances,positive_rate,iteration_time
50,0.256785124540329,0.84,0.7777777777777778,0.8076923076923077,50.0,0.26,231.11473560333252
75,0.10428684204816818,0.9259259259259259,0.9259259259259259,0.9259259259259259,75.0,0.24,233.81560921669006
100,0.19837619364261627,0.9565217391304348,0.8148148148148148,0.8800000000000001,100.0,0.21,244.405611038208
120,0.08295559883117676,0.9615384615384616,0.9259259259259259,0.9433962264150944,120.0,0.225,229.31100869178772
140,0.15782061219215393,0.9259259259259259,0.9259259259259259,0.9259259259259259,140.0,0.2642857142857143,238.03649735450745
160,0.12094759196043015,0.96,0.8888888888888888,0.923076923076923,160.0,0.25,236.9081678390503
180,0.15369458496570587,1.0,0.8518518518518519,0.92,180.0,0.2611111111111111,235.9507553577423
200,0.16428396105766296,0.8928571428571429,0.9259259259259259,0.9090909090909091,200.0,0.27,244.04610133171082
321,0.06976588070392609,0.9642857142857143,1.0,0.9818181818181818,321.0,0.24299065420560748,252.9748570919037
