,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.121,0.914,0.905,0.923,200,200,370.873,0.485,0.183
1,0.102,0.93,0.922,0.939,280,240,438.055,0.471,0.181
2,0.094,0.937,0.928,0.947,360,280,437.655,0.482,0.18
3,0.118,0.934,0.915,0.954,440,320,431.088,0.488,0.178
4,0.104,0.942,0.929,0.955,520,360,441.857,0.483,0.177
5,0.097,0.942,0.943,0.941,600,400,445.576,0.481,0.176
6,0.103,0.944,0.939,0.949,680,440,448.077,0.49,0.174
7,0.1,0.941,0.937,0.946,760,480,448.459,0.489,0.172
8,0.105,0.945,0.939,0.951,840,520,459.314,0.489,0.171
9,0.106,0.944,0.934,0.954,920,560,459.552,0.489,0.169
10,0.099,0.946,0.94,0.953,1000,600,474.963,0.489,0.168
11,0.1,0.947,0.945,0.95,1080,640,471.106,0.487,0.166
12,0.104,0.945,0.939,0.95,1160,680,476.786,0.486,0.165
13,0.096,0.949,0.945,0.954,1240,720,485.204,0.485,0.163
14,0.103,0.946,0.948,0.944,1320,760,494.793,0.487,0.161
15,0.102,0.95,0.942,0.959,1400,800,493.964,0.487,0.16
16,0.107,0.949,0.943,0.955,1480,840,502.733,0.488,0.158
17,0.098,0.949,0.943,0.956,1560,880,512.744,0.489,0.156
18,0.099,0.948,0.944,0.953,1640,920,520.114,0.487,0.155
19,0.097,0.951,0.944,0.958,1720,960,525.444,0.484,0.153
20,0.1,0.951,0.946,0.956,1800,1000,523.433,0.484,0.151
