,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.636,0.105,0.062,0.333,10,0.333,0.186,438.637
1,0.417,0.0,0.0,0.0,20,0.267,0.186,443.36
2,0.351,0.0,0.0,0.0,40,0.2,0.186,439.667
3,0.208,0.57,0.581,0.562,60,0.217,0.186,443.418
4,0.205,0.831,0.888,0.79,80,0.196,0.186,454.912
5,0.13,0.895,0.881,0.911,100,0.193,0.186,464.213
6,0.13,0.896,0.852,0.945,120,0.2,0.186,460.395
7,0.124,0.908,0.897,0.92,140,0.183,0.186,452.337
8,0.18,0.881,0.881,0.896,160,0.177,0.186,455.631
9,0.104,0.914,0.906,0.924,180,0.174,0.186,450.891
10,0.143,0.903,0.914,0.897,200,0.168,0.186,468.985
11,0.132,0.915,0.927,0.905,240,0.178,0.186,466.504
12,0.137,0.913,0.904,0.924,280,0.182,0.186,452.374
13,0.146,0.914,0.896,0.934,320,0.184,0.186,472.371
14,0.123,0.919,0.912,0.928,360,0.186,0.186,463.897
15,0.124,0.921,0.916,0.928,400,0.188,0.186,471.637
16,0.126,0.921,0.912,0.931,440,0.189,0.186,485.696
17,0.125,0.93,0.926,0.936,480,0.189,0.186,490.37
18,0.129,0.924,0.919,0.928,520,0.19,0.186,481.149
19,0.124,0.928,0.93,0.927,560,0.19,0.186,486.076
20,0.141,0.929,0.913,0.946,600,0.192,0.186,488.138
21,0.106,0.934,0.934,0.935,640,0.192,0.186,530.817
22,0.125,0.934,0.924,0.945,680,0.189,0.186,511.324
23,0.13,0.932,0.904,0.963,720,0.184,0.186,515.897
24,0.121,0.93,0.915,0.947,760,0.187,0.186,510.643
25,0.121,0.928,0.92,0.936,800,0.187,0.186,505.257
26,0.125,0.926,0.951,0.902,840,0.188,0.186,519.643
27,0.124,0.934,0.935,0.932,880,0.188,0.186,530.06
28,0.126,0.931,0.933,0.929,920,0.187,0.186,515.56
29,0.124,0.93,0.933,0.926,960,0.189,0.186,537.502
30,0.115,0.938,0.931,0.945,1000,0.188,0.186,532.44
31,0.115,0.939,0.939,0.939,4305,0.186,0.186,801.276
32,0.132,0.942,0.946,0.938,8611,0.183,0.189,1097.864
33,0.109,0.953,0.951,0.955,17223,0.186,0.186,1704.972
